id,status
8.09E+17,Deleted
9.53E+17,Deleted
9.45E+17,Deleted
1.14E+18,Deleted
1.22E+18,Deleted
1.14E+18,Deleted
1.18E+18,Deleted
1.31E+18,Deleted
1.24E+18,Deleted
1.14E+18,Deleted
1.21E+18,Deleted
1.09E+18,Deleted
1.32E+18,Deleted
1.27E+18,Deleted
8.23E+17,Deleted
8.88E+17,Deleted
8.41E+17,Deleted
7.25E+17,Deleted
1.31E+18,Deleted
1.06E+18,Deleted
21019877,Active
630173378,Active
56308041,Active
2897377519,Active
870014358,Active
620925077,Active
2201241293,Active
226520934,Active
1000291272,Active
1222774016,Active
19294189,Active
3689619972,Active
2445492623,Active
315461934,Active
343076313,Active
24993884,Active
215427984,Active
805224049,Active
413862023,Active
222887440,Active
2872155528,Active
902738071,Active
33398863,Active
531587714,Active
528608752,Active
2649958733,Active
2502496794,Active
322435015,Active
2574791751,Active
34284169,Active
26594687,Active
241212131,Active
3111670868,Active
3616347075,Active
26871978,Active
24885372,Active
709905623,Active
4685262612,Active
3571808356,Active
976681201,Active
261736294,Active
525345413,Active
3304499628,Active
184270826,Active
18458833,Active
1067266550,Active
44664381,Active
141642957,Active
381950496,Active
564702165,Active
280862799,Active
4660699937,Active
1343300730,Active
1.28E+18,Deleted
8.03E+17,Deleted
1.23E+18,Deleted
1.32E+18,Deleted
1.30E+18,Deleted
1.29E+18,Deleted
1.06E+18,Deleted
7.24E+17,Deleted
7.63E+17,Deleted
9.06E+17,Deleted
9.68E+17,Deleted
1.00E+18,Deleted
1.05E+18,Deleted
9.90E+17,Deleted
1.29E+18,Deleted
1.24E+18,Deleted
8.21E+17,Deleted
1.02E+18,Deleted
1.28E+18,Deleted
1.28E+18,Deleted
9.73E+17,Deleted
9.62E+17,Deleted
7.88E+17,Deleted
8.06E+17,Deleted
9.25E+17,Deleted
7.84E+17,Deleted
1.20E+18,Deleted
9.09E+17,Deleted
7.66E+17,Deleted
9.55E+17,Deleted
1.28E+18,Deleted
1.30E+18,Deleted
9.79E+17,Deleted
1.27E+18,Deleted
7.09E+17,Deleted
1.30E+18,Deleted
9.87E+17,Deleted
7.93E+17,Deleted
8.72E+17,Deleted
1.28E+18,Deleted
1.29E+18,Deleted
8.31E+17,Deleted
1.32E+18,Deleted
1.02E+18,Deleted
7.21E+17,Deleted
1.06E+18,Deleted
1.12E+18,Deleted
46816341,Active
1905143468,Active
474617850,Active
464530573,Active
113258545,Active
2979072323,Active
2544471391,Active
3254285988,Active
359036430,Active
2850760995,Active
20249983,Active
411213426,Active
1950799526,Active
16547386,Active
370522572,Active
3689619972,Active
1043630215,Active
127787786,Active
406751548,Active
1683499814,Active
141950326,Active
202580424,Active
49273832,Active
1146683604,Active
3195513629,Active
147022653,Active
114650320,Active
124638675,Active
318219401,Active
377704242,Active
33590719,Active
28523293,Active
49257662,Active
98906083,Active
4663273753,Active
3386841194,Active
1054276370,Active
63521328,Active
242406092,Active
3356128552,Active
4764405433,Active
29355039,Active
2764631099,Active
3254285988,Active
974893268,Active
368457168,Active
308463919,Active
260294326,Active
2455710812,Active
1.08E+18,Deleted
9.33E+17,Deleted
7.49E+17,Deleted
1.01E+18,Deleted
9.33E+17,Deleted
1.29E+18,Deleted
1.29E+18,Deleted
9.66E+17,Deleted
1.25E+18,Deleted
7.62E+17,Deleted
1.32E+18,Deleted
9.25E+17,Deleted
7.62E+17,Deleted
8.72E+17,Deleted
1.01E+18,Deleted
9.54E+17,Deleted
7.58E+17,Deleted
1.27E+18,Deleted
9.16E+17,Deleted
9.54E+17,Deleted
8.82E+17,Deleted
1.23E+18,Deleted
1.15E+18,Deleted
1.15E+18,Deleted
1.14E+18,Deleted
1.13E+18,Deleted
9.49E+17,Deleted
8.83E+17,Deleted
1.23E+18,Deleted
8.23E+17,Deleted
7.87E+17,Deleted
7.70E+17,Deleted
1.23E+18,Deleted
7.58E+17,Deleted
1.00E+18,Deleted
7.55E+17,Deleted
1.28E+18,Deleted
9.36E+17,Deleted
9.64E+17,Deleted
1.28E+18,Deleted
